track_uri,name,artists_names,song_popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists_popularities,artists_genres,artists_followers,predicted_mood
open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Taylor Swift,87,2022-10-21,0.733,0.436,10.0,-10.489,1.0,0.08,0.258,0.000573,0.157,0.0976,96.985,202396,4,100,pop,71194980,calm
open.spotify.com/track/6qyS9qBy0mEk3qYaH8mPss,Murder In My Mind,Kordhell,87,2022-01-21,0.712,0.972,10.0,-0.514,1.0,0.112,0.00547,7.06e-05,0.128,0.568,119.966,145000,4,80,drift phonk,628977,energetic
open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,Reminder,The Weeknd,87,2016-11-25,0.706,0.505,8.0,-6.923,1.0,0.193,0.142,0.0,0.164,0.388,160.053,218880,4,98,canadian contemporary r&b,62165751,calm
open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,87,2017-03-03,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3,92,pop,110923487,sad
open.spotify.com/track/3azJifCSqg9fRij2yKIbWz,The Color Violet,Tory Lanez,87,2021-12-10,0.645,0.534,6.0,-10.8,0.0,0.0479,0.157,0.0,0.0863,0.463,105.02,226467,4,82,canadian hip hop,5338300,calm
open.spotify.com/track/5MxFWjuqQIsbNWbMdMdbli,La Jumpa,Arcángel,87,2022-11-30,0.713,0.703,8.0,-5.769,1.0,0.194,0.298,0.0,0.321,0.576,123.06,255693,4,86,latin hip hop,10386390,energetic
open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,87,2019-05-17,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,83,pop,10758291,sad
open.spotify.com/track/2GAhgAjOhEmItWLfgisyOn,Low,SZA,87,2022-12-09,0.698,0.546,0.0,-7.234,0.0,0.0559,0.425,0.00314,0.16,0.335,145.044,181080,4,93,pop,11705818,calm
open.spotify.com/track/7MVIfkyzuUmQ716j8U7yGR,Rara Vez,Taiu,87,2023-02-08,0.838,0.708,5.0,-4.668,0.0,0.166,0.176,0.0,0.343,0.96,119.984,128677,4,75,,9156,happy
open.spotify.com/track/3XjvMZqm2AQ8thMCD6w9w2,Mas Rica Que Ayer,Anuel AA,87,2023-03-02,0.818,0.666,11.0,-5.319,1.0,0.0759,0.343,0.0,0.0922,0.529,93.95,199149,4,89,reggaeton,27967083,happy
open.spotify.com/track/0a4MMyCrzT0En247IhqZbD,Hype Boy,NewJeans,87,2022-08-01,0.593,0.935,4.0,-3.43,0.0,0.225,0.268,0.0,0.286,0.783,99.976,179027,4,84,k-pop,2902877,happy
