Rank,Title,Artist,Featuring,Last,Peak,Weeks,Released,Age,Popularity,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration
23,Wrong Ones,Post Malone,Tim McGraw,-0,23,1,2024-08-15,2,79,0.476,0.797,0,-3.867,0.0332,0.00552,0,0.142,0.601,80.946,195822
24,Saturn,SZA,,22,6,26,2024-02-22,27,88,0.411,0.619,1,-6.834,0.0368,0.62,0,0.11,0.337,177.937,186191
25,Losers,Post Malone,Jelly Roll,-0,25,1,2024-08-15,2,77,0.607,0.76,0,-4.024,0.029,0.0292,0,0.146,0.414,93.954,209038
26,Like That,"Future, Metro Boomin & Kendrick Lamar",,21,1,22,2024-03-22,23,88,0.814,0.676,11,-4.67,0.231,0.00709,0.0000128,0.119,0.312,162.012,267706
27,Pink Pony Club,Chappell Roan,,26,26,10,2023-09-22,49,88,0.61,0.65,6,-6.199,0.0474,0.399,0,0.11,0.507,106.719,258034
28,Kehlani,Jordan Adetunji,,25,25,9,2024-06-24,10,89,0.645,0.634,10,-3.769,0.0341,0.158,0.00000378,0.0908,0.352,160.017,122360
29,Big Dawgs,Hanumankind X Kalmi,,23,23,4,2024-08-07,3,43,0.426,0.647,2,-8.361,0.0956,0.126,0,0.184,0.218,156.73,220160
30,Houdini,Eminem,,24,2,12,2024-05-31,13,88,0.936,0.887,9,-2.76,0.0683,0.0292,0.00000188,0.0582,0.889,127.003,227239
31,I Am Not Okay,Jelly Roll,,32,29,10,2024-06-12,11,78,0.512,0.672,7,-5.298,0.03,0.0602,0,0.158,0.393,76.821,197133
32,Who,Jimin,,29,12,5,2024-07-19,6,94,0.66,0.756,0,-3.743,0.032,0.00289,0,0.193,0.838,116.034,170887
33,Guess,Charli xcx,Billie Eilish,20,12,3,2024-08-01,4,92,0.776,0.667,7,-6.622,0.0983,0.0146,0.3,0.0761,0.618,130.019,143330
34,California Sober,Post Malone,Chris Stapleton,-0,34,1,2024-08-15,2,76,0.455,0.968,0,-3.672,0.0391,0.00396,0.0000206,0.24,0.686,92.511,204411
35,28,Zach Bryan,,27,14,7,2024-07-04,8,86,0.492,0.519,7,-6.886,0.0288,0.227,0.0000847,0.0693,0.435,80.868,233333
